"","rank","team","conf","rec","adj_o","adj_o_rk","adj_d","adj_d_rk","barthag","proj_rec","proj_conf_rec","wab","wab_rk","cur_rk","change","date","record","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record"
"45351",339,"Central Michigan","MAC",NA,92.5170938742293,353,108.430073229871,264,0.138812445286881,NA,NA,-15.1501948650538,308,NA,NA,"2023-03-14","10-21",67.3727871953838,173,"10-21","5-13"
"45352",340,"Holy Cross","Pat",NA,94.0760146005398,344,110.375266661004,294,0.137346761809484,NA,NA,-18.1086687815691,346,NA,NA,"2023-03-14","10-22",68.9954387879228,93,"10-22","7-11"
"45353",341,"South Carolina St.","MEAC",NA,98.2479044120211,302,115.317696557449,351,0.13678360759017,NA,NA,-19.9205255739264,356,NA,NA,"2023-03-14","5-26",71.8070264178737,16,"5-26","2-12"
"45354",342,"Lindenwood","OVC",NA,95.8638962808919,332,112.625003872509,333,0.135515823813034,NA,NA,-16.3452841312231,331,NA,NA,"2023-03-14","11-21",67.1462480322818,184,"11-21","6-12"
"45355",343,"Columbia","Ivy",NA,94.3578736061067,342,110.879276781198,305,0.135229142555431,NA,NA,-16.6737927935528,335,NA,NA,"2023-03-14","7-22",69.7921957230168,51,"7-22","2-12"
"45356",344,"Coppin St.","MEAC",NA,97.8407603716585,305,115.29487791091,350,0.131501796686688,NA,NA,-16.3288502925792,330,NA,NA,"2023-03-14","9-23",71.9801409520203,15,"9-23","4-10"
"45357",345,"Central Connecticut","NEC",NA,96.4314628887144,326,114.258886449986,344,0.124466781634187,NA,NA,-18.5031879679663,351,NA,NA,"2023-03-14","10-22",64.4458204233786,320,"10-22","7-9"
"45358",346,"Bethune Cookman","SWAC",NA,96.7150157187627,322,114.611879404945,347,0.124280791545823,NA,NA,-15.6418889094248,318,NA,NA,"2023-03-14","12-20",68.8012312389173,104,"12-20","8-10"
"45359",347,"Hampton","CAA",NA,97.4359923339411,315,115.763571326139,354,0.121097923634931,NA,NA,-18.3994622478369,350,NA,NA,"2023-03-14","8-24",68.8662435172394,98,"8-24","5-13"
"45360",348,"Albany","AE",NA,97.7598785491497,308,116.170453310947,356,0.12086552881251,NA,NA,-17.4373512619543,342,NA,NA,"2023-03-14","8-23",67.4016077953881,170,"8-23","3-13"
"45361",349,"Houston Christian","Slnd",NA,101.264932692564,244,120.387527350766,363,0.120339281245774,NA,NA,-17.7319318108826,344,NA,NA,"2023-03-14","10-22",70.6689441943104,32,"10-22","7-11"
"45362",350,"Eastern Illinois","OVC",NA,93.6418541805655,347,111.632136032689,318,0.117024668852414,NA,NA,-17.8532926109126,345,NA,NA,"2023-03-14","9-22",68.0196290800619,148,"9-22","5-13"
"45363",351,"Monmouth","CAA",NA,91.9205238770332,355,109.663232926386,284,0.116126595499722,NA,NA,-18.9722329564951,354,NA,NA,"2023-03-14","7-26",68.4086059480617,130,"7-26","5-13"
"45364",352,"Evansville","MVC",NA,91.2785348581198,357,108.931688592773,271,0.115754702203065,NA,NA,-20.1687433654501,359,NA,NA,"2023-03-14","5-27",69.6409607771836,58,"5-27","1-19"
"45365",353,"Alabama St.","SWAC",NA,92.2453810753667,354,110.857996248909,304,0.107774736958906,NA,NA,-17.0700646734615,340,NA,NA,"2023-03-14","8-23",66.4354217210374,221,"8-23","6-12"
"45366",354,"VMI","SC",NA,97.4718482776738,314,117.667430797256,359,0.102897700322024,NA,NA,-19.9029913341529,355,NA,NA,"2023-03-14","7-25",66.7985504139429,203,"7-25","2-16"
"45367",355,"Lamar","Slnd",NA,94.7846038522434,340,114.546825525097,346,0.101758909442389,NA,NA,-18.3639598807349,349,NA,NA,"2023-03-14","9-22",65.8447450434562,264,"9-22","5-13"
"45368",356,"Mississippi Valley St.","SWAC",NA,92.6385044040319,352,111.985555839199,323,0.101456241548747,NA,NA,-20.0356292986858,358,NA,NA,"2023-03-14","5-27",67.2031563822429,182,"5-27","4-14"
"45369",357,"Florida A&M","SWAC",NA,89.9306751471044,362,108.837502267229,268,0.100255042578685,NA,NA,-16.2196882217982,329,NA,NA,"2023-03-14","7-22",65.1063218523543,294,"7-22","5-13"
"45370",358,"St. Francis NY","NEC",NA,90.8596205283315,359,110.379810793651,296,0.0963867294519673,NA,NA,-13.1385221511604,278,NA,NA,"2023-03-14","14-16",65.8614372178973,262,"14-16","7-9"
"45371",359,"Delaware St.","MEAC",NA,91.6382253313339,356,111.696771175577,319,0.0931047255893374,NA,NA,-17.5149723631655,343,NA,NA,"2023-03-14","6-23",67.6742421176362,160,"7-22","4-10"
"45372",360,"IUPUI","Horz",NA,96.1910849362167,330,118.457811297335,360,0.0835905933284515,NA,NA,-22.3496748524105,362,NA,NA,"2023-03-14","5-27",67.1368019092939,185,"5-27","2-18"
"45373",361,"Green Bay","Horz",NA,91.1951255926585,358,114.882028234421,349,0.0656569875627924,NA,NA,-22.9953339350735,363,NA,NA,"2023-03-14","3-29",65.2292871852139,289,"3-29","2-18"
"45374",362,"Hartford","ind",NA,90.1417766926661,361,118.47196280033,361,0.0413733414360055,NA,NA,-19.9507896364644,357,NA,NA,"2023-03-14","5-23",65.5400204550839,278,"5-23","0-2"
"45375",363,"LIU Brooklyn","NEC",NA,86.8545170870109,363,117.452381249868,358,0.0301580110685369,NA,NA,-21.420475521174,360,NA,NA,"2023-03-14","3-26",72.5891166877026,6,"3-26","1-15"
"45376",1,"Houston","Amer",NA,118.286622975335,12,89.70525430073,4,0.960100932067276,NA,NA,8.48510507576057,5,NA,NA,"2023-03-15","31-3",63.26260013147,343,"32-3","17-1"
"45377",2,"Alabama","SEC",NA,116.854133723704,14,89.3694098106296,3,0.956215432895761,NA,NA,10.4728592990858,1,NA,NA,"2023-03-15","29-5",72.7337706512913,4,"30-5","16-2"
"45378",3,"UCLA","P12",NA,113.729166668804,30,88.2120013515451,2,0.948917698088895,NA,NA,8.66058424349127,4,NA,NA,"2023-03-15","29-5",66.3501134797939,226,"30-5","18-2"
"45379",4,"Connecticut","BE",NA,119.834580120338,6,94.0083485467061,19,0.942208236989825,NA,NA,4.88512327785998,14,NA,NA,"2023-03-15","25-8",66.9821800487705,189,"25.8-8.2","13-7"
"45380",5,"Tennessee","SEC",NA,112.289120719506,47,88.205720600401,1,0.941373840590983,NA,NA,3.07315192785672,25,NA,NA,"2023-03-15","23-10",65.5901115527899,274,"23.9-10.1","11-7"
"45381",6,"Purdue","B10",NA,119.397550309079,7,94.0576911681066,20,0.939535493491049,NA,NA,9.21165180209629,3,NA,NA,"2023-03-15","29-5",64.087182626325,330,"30-5","15-5"
"45382",7,"Gonzaga","WCC",NA,125.160993711913,1,99.6189947614538,81,0.932443987653268,NA,NA,6.9626380217277,9,NA,NA,"2023-03-15","28-5",70.0257864662605,43,"28.9-5.1","14-2"
"45383",8,"Texas","B12",NA,115.70801693368,19,92.2080039758783,10,0.931551148399707,NA,NA,7.89648521310948,6,NA,NA,"2023-03-15","26-8",68.8069738592074,101,"26.9-8.1","12-6"
"45384",9,"Arizona","P12",NA,120.696003540842,3,96.2586148407956,37,0.930972209547892,NA,NA,7.72755229683101,7,NA,NA,"2023-03-15","28-6",72.4267764207781,7,"28.9-6.1","14-6"
"45385",10,"Saint Mary's","WCC",NA,112.985170999687,38,90.6340997593418,5,0.926552490117441,NA,NA,3.77253752702046,21,NA,NA,"2023-03-15","26-7",62.0791282735341,356,"26.8-7.2","14-2"
"45386",11,"San Diego St.","MWC",NA,112.448838809476,45,90.6610138348609,6,0.922496867377608,NA,NA,6.05274632384295,10,NA,NA,"2023-03-15","27-6",66.1029855121836,244,"27.8-6.2","15-3"
"45387",12,"Kansas","B12",NA,113.598049803063,33,92.2764508752879,11,0.916106901988618,NA,NA,10.3473461065673,2,NA,NA,"2023-03-15","27-7",69.1250303919715,88,"27.9-7.1","13-5"
"45388",13,"Marquette","BE",NA,118.92279556469,9,97.0102119180878,46,0.912301836367674,NA,NA,7.41987164485645,8,NA,NA,"2023-03-15","28-6",68.6277217299105,117,"28.8-6.2","17-3"
"45389",14,"Baylor","B12",NA,122.966154876245,2,100.75458596208,99,0.908132795421657,NA,NA,5.55461561601225,11,NA,NA,"2023-03-15","22-10",67.0146168574586,188,"22.9-10.1","11-7"
"45390",15,"Creighton","BE",NA,114.574951787717,26,93.9854243504424,18,0.907041010660214,NA,NA,1.86826853476611,32,NA,NA,"2023-03-15","21-12",67.8938694157208,152,"21.7-12.3","14-6"
"45391",16,"Memphis","Amer",NA,115.713822882621,18,95.0767988603862,31,0.905424371336989,NA,NA,5.22152933972312,12,NA,NA,"2023-03-15","26-8",71.5422739919161,20,"26.6-8.4","13-5"
"45392",17,"Texas A&M","SEC",NA,114.944398994911,23,95.0066686857549,30,0.899417273726232,NA,NA,4.01225119526007,18,NA,NA,"2023-03-15","25-9",66.2229218064845,233,"25.6-9.4","15-3"
"45393",18,"Arkansas","SEC",NA,112.33148343875,46,93.2736004398502,15,0.894546442799735,NA,NA,0.745703035461501,47,NA,NA,"2023-03-15","20-13",69.6360589217507,59,"20.6-13.4","8-10"
"45394",19,"West Virginia","B12",NA,117.393468053293,13,97.5537168282384,50,0.893687485849708,NA,NA,1.69896114802448,35,NA,NA,"2023-03-15","19-14",68.7479987875015,109,"19.6-14.4","7-11"
"45395",20,"Duke","ACC",NA,112.762676453247,41,94.1945042286201,21,0.887865475679554,NA,NA,4.17871991813467,17,NA,NA,"2023-03-15","26-8",65.2570524882829,287,"26.7-8.3","14-6"
"45396",21,"Iowa St.","B12",NA,109.577013286868,89,91.541089044989,7,0.887769406630291,NA,NA,2.52886655228012,26,NA,NA,"2023-03-15","19-13",64.2085568874746,326,"19.7-13.3","9-9"
"45397",22,"Xavier","BE",NA,119.106004901899,8,99.638668968842,82,0.886182937961979,NA,NA,4.99949601472667,13,NA,NA,"2023-03-15","25-9",70.4395057360773,39,"25.8-9.2","15-5"
"45398",23,"Auburn","SEC",NA,112.985385668193,37,94.7292986790478,27,0.883572455084944,NA,NA,1.39486808678531,38,NA,NA,"2023-03-15","20-12",67.6563632773373,162,"20.6-12.4","10-8"
"45399",24,"Kansas St.","B12",NA,111.319469850397,58,93.65613846901,16,0.879415136963241,NA,NA,4.54329056875777,15,NA,NA,"2023-03-15","23-9",69.9875611307042,44,"23.8-9.2","11-7"
"45400",25,"TCU","B12",NA,112.088103269612,51,94.6619102449143,26,0.874702747985436,NA,NA,2.51363880392171,27,NA,NA,"2023-03-15","21-12",69.8372096177834,50,"21.6-12.4","9-9"
"45401",26,"Utah St.","MWC",NA,116.710623513015,17,98.5705574874854,68,0.874641559539811,NA,NA,3.39375632295271,23,NA,NA,"2023-03-15","26-8",68.8046684081819,103,"26.6-8.4","13-5"
"45402",27,"Kentucky","SEC",NA,116.80950418535,16,99.2060992024267,75,0.86743492477778,NA,NA,1.86687613265126,33,NA,NA,"2023-03-15","21-11",65.9851813895309,254,"21.6-11.4","12-6"
"45403",28,"Maryland","B10",NA,113.287737758164,36,96.3021901247014,39,0.866233474204549,NA,NA,0.850804464024826,44,NA,NA,"2023-03-15","21-12",64.7321221162213,310,"21.4-12.6","11-9"
"45404",29,"Michigan St.","B10",NA,112.943686560545,39,96.2944167725532,38,0.862238569034059,NA,NA,2.42038331906426,29,NA,NA,"2023-03-15","19-12",64.8688357552368,305,"19.5-12.5","11-8"
"45405",30,"Florida Atlantic","CUSA",NA,112.820347133557,40,96.3296796834788,40,0.860233739944445,NA,NA,4.28470738177531,16,NA,NA,"2023-03-15","31-3",68.1994872851512,134,"31.4-3.6","18-2"
"45406",31,"Indiana","B10",NA,113.52305500015,34,97.193324721073,48,0.856435546179813,NA,NA,3.376375367611,24,NA,NA,"2023-03-15","22-11",68.1431166318991,139,"22.6-11.4","12-8"
"45407",32,"Virginia","ACC",NA,110.377604923072,70,94.5691421540753,25,0.855403271753347,NA,NA,3.86926859531497,20,NA,NA,"2023-03-15","25-7",61.4102083218737,360,"25.7-7.3","15-5"
"45408",33,"Northwestern","B10",NA,108.505129147225,104,93.2368373453763,14,0.85119788992751,NA,NA,1.53792433356976,36,NA,NA,"2023-03-15","21-11",64.9592457484502,302,"21.5-11.5","12-8"
"45409",34,"Boise St.","MWC",NA,109.954816674636,83,94.4934767982865,24,0.85102909317259,NA,NA,2.49675766510448,28,NA,NA,"2023-03-15","24-9",66.5430385364233,219,"24.5-9.5","13-5"
"45410",35,"Oklahoma St.","B12",NA,107.309813447118,124,92.5882628924658,12,0.845131227609423,NA,NA,0.395713925341535,51,NA,NA,"2023-03-15","19-15",67.5720803271124,165,"19-15","8-10"
"45411",36,"Oregon","P12",NA,114.460460759649,27,98.8580253170324,71,0.843600334719552,NA,NA,-0.161536680149742,56,NA,NA,"2023-03-15","20-14",66.244487306984,230,"20-14","12-8"
"45412",37,"Rutgers","B10",NA,105.687346575352,153,91.5579987641781,8,0.838944317605131,NA,NA,-1.17393663890076,68,NA,NA,"2023-03-15","19-15",65.9235958976062,257,"19-15","10-10"
"45413",38,"Iowa","B10",NA,120.553355640001,4,104.452947361333,173,0.838700522376432,NA,NA,0.2003897636284,53,NA,NA,"2023-03-15","19-13",69.6416503478547,57,"19.4-13.6","11-9"
"45414",39,"USC","P12",NA,112.572461003919,42,97.6506559801175,52,0.836895549802998,NA,NA,2.23841704448389,30,NA,NA,"2023-03-15","22-10",68.152556893199,137,"22.5-10.5","14-6"
"45415",40,"Miami FL","ACC",NA,118.295061015541,11,102.615170681406,137,0.836888484334066,NA,NA,3.39500614686147,22,NA,NA,"2023-03-15","25-7",68.7638882843322,107,"25.5-7.5","15-5"
"45416",41,"Cincinnati","Amer",NA,112.523338780455,43,97.7091879496069,53,0.835263246899534,NA,NA,-1.269601614141,70,NA,NA,"2023-03-15","22-12",68.5583145750639,121,"22-12","11-7"
"45417",42,"Penn St.","B10",NA,116.849510159945,15,101.645705323632,115,0.832440908310254,NA,NA,1.36081018980508,39,NA,NA,"2023-03-15","22-13",64.6062624917484,313,"22.4-13.6","10-10"
"45418",43,"North Carolina","ACC",NA,111.158186706025,59,96.7375605635196,43,0.831732266121774,NA,NA,-0.88180527029743,64,NA,NA,"2023-03-15","20-13",68.9469037474269,96,"20-13","11-9"
"45419",44,"Liberty","ASun",NA,111.020004348043,62,96.9028115091146,45,0.826929657948562,NA,NA,-1.83716204011182,77,NA,NA,"2023-03-15","27-8",64.4279516192108,320,"27.4-8.6","15-3"
"45420",45,"Michigan","B10",NA,112.214208842911,50,97.9529632281863,55,0.826798536648504,NA,NA,-1.93958209058381,80,NA,NA,"2023-03-15","18-15",67.608298462181,164,"18.4-15.6","11-9"
"45421",46,"Illinois","B10",NA,110.07257783425,79,96.1145447234049,35,0.826266071756833,NA,NA,0.706627289824692,48,NA,NA,"2023-03-15","20-12",69.7205972419103,55,"20.4-12.6","11-9"
"45422",47,"North Texas","CUSA",NA,108.844377336978,97,95.3174377078944,33,0.821438375509507,NA,NA,0.807406861231141,45,NA,NA,"2023-03-15","27-7",58.5779148851478,363,"27-7","16-4"
"45423",48,"Drake","MVC",NA,110.459658312119,69,96.7524226151707,44,0.821081575896514,NA,NA,-0.372374924176866,57,NA,NA,"2023-03-15","27-7",66.409133238879,222,"27.5-7.5","15-5"
"45424",49,"Ohio St.","B10",NA,115.483472506375,21,101.239145868399,108,0.819635827967113,NA,NA,-3.09849022496472,96,NA,NA,"2023-03-15","16-19",66.08961813205,245,"16-19","5-15"
"45425",50,"UAB","CUSA",NA,112.079174821112,52,98.3042266361558,61,0.818778407860336,NA,NA,-0.946488861643345,65,NA,NA,"2023-03-15","26-9",71.0747170343707,27,"26-9","14-6"
"45426",51,"North Carolina St.","ACC",NA,113.964510176975,28,100.042698092963,87,0.817326033033534,NA,NA,0.79145113276135,46,NA,NA,"2023-03-15","23-10",69.3955436713463,71,"23.3-10.7","12-8"
"45427",52,"Oklahoma","B12",NA,110.007235545926,80,96.65150874329,42,0.815852234119123,NA,NA,-1.38441621462017,72,NA,NA,"2023-03-15","15-17",65.1470206077191,291,"15-17","5-13"
"45428",53,"Arizona St.","P12",NA,108.320846366651,105,95.217307626971,32,0.814989520925453,NA,NA,1.44159939419788,37,NA,NA,"2023-03-15","23-12",68.3521038878161,131,"23.4-12.6","11-9"
"45429",54,"Washington St.","P12",NA,111.379898685823,57,98.0703850715126,56,0.812068395292471,NA,NA,-2.73256544593511,90,NA,NA,"2023-03-15","17-17",64.367046772503,321,"17-17","11-9"
"45430",55,"UCF","Amer",NA,109.468206044209,92,96.4264241718593,41,0.811352068149316,NA,NA,-3.42072863644464,103,NA,NA,"2023-03-15","19-14",64.3624724215872,323,"19-14","8-10"
"45431",56,"Texas Tech","B12",NA,111.102829047484,61,97.9267995954151,54,0.810261909717773,NA,NA,-2.25325523534032,83,NA,NA,"2023-03-15","16-16",67.3813011389477,171,"16-16","5-13"
"45432",57,"Missouri","SEC",NA,118.402480431857,10,104.624033894737,178,0.805767342191504,NA,NA,3.91399018448768,19,NA,NA,"2023-03-15","24-9",69.3400462831671,74,"24.4-9.6","11-7"
"45433",58,"VCU","A10",NA,106.08937621792,142,93.8351104710085,17,0.804009098084397,NA,NA,1.13648715723621,40,NA,NA,"2023-03-15","27-7",68.082328092327,146,"27.2-7.8","15-3"
"45434",59,"Providence","BE",NA,115.670935949139,20,102.358677862936,130,0.803144156894523,NA,NA,0.895483622250752,43,NA,NA,"2023-03-15","21-11",67.0479264066489,187,"21.4-11.6","13-7"
"45435",60,"Mississippi St.","SEC",NA,103.751343458863,184,91.8759309668172,9,0.801853171958408,NA,NA,0.661540913788738,49,NA,NA,"2023-03-15","21-13",63.686040158413,337,"21-13","8-10"
"45436",61,"Clemson","ACC",NA,110.477023178731,68,98.1414111088605,57,0.796016171827675,NA,NA,-0.54211011233216,60,NA,NA,"2023-03-15","23-11",68.1183877546819,142,"23-11","14-6"
"45437",62,"Seton Hall","BE",NA,106.055121175451,144,94.2257015013962,22,0.795769260347165,NA,NA,-2.33806957947552,85,NA,NA,"2023-03-15","17-16",66.4782174401686,220,"17-16","10-10"
"45438",63,"Colorado","P12",NA,106.27128724563,139,94.4410539689348,23,0.795307757037369,NA,NA,-3.15105335070541,98,NA,NA,"2023-03-15","18-16",69.1557524158015,85,"18-16","8-12"
"45439",64,"Sam Houston St.","WAC",NA,104.73865321283,161,93.1842427548556,13,0.793184753565946,NA,NA,0.341822690280386,52,NA,NA,"2023-03-15","26-7",64.3631611713717,322,"26-7","14-4"
"45440",65,"Utah Valley","WAC",NA,106.606799605796,131,94.8593254693086,28,0.792925607308311,NA,NA,0.0248081568454679,54,NA,NA,"2023-03-15","26-8",69.9207431150921,47,"26-8","15-3"
"45441",66,"Utah","P12",NA,107.311632828757,123,95.5040235989098,34,0.792578699295279,NA,NA,-3.13363793250201,97,NA,NA,"2023-03-15","17-15",66.1836046600786,236,"17-15","10-10"
"45442",67,"Dayton","A10",NA,110.234298139812,75,98.3857515529797,63,0.787126193569799,NA,NA,-4.14782511063514,112,NA,NA,"2023-03-15","22-12",62.5620286241192,352,"22-12","12-6"
"45443",68,"Villanova","BE",NA,111.894759485072,54,99.8819483635728,85,0.78685189908839,NA,NA,-2.45811463523605,86,NA,NA,"2023-03-15","17-17",63.824325441374,335,"17-17","10-10"
"45444",69,"Wisconsin","B10",NA,106.333530690917,138,94.9353515414956,29,0.786494306429873,NA,NA,-0.523060175588748,59,NA,NA,"2023-03-15","18-14",63.1279218373296,345,"18.6-14.4","9-11"
"45445",70,"New Mexico","MWC",NA,114.763883583277,24,102.539234846532,134,0.785036212225546,NA,NA,-0.588704560283243,62,NA,NA,"2023-03-15","22-12",71.6880743427495,19,"22-12","8-10"
"45446",71,"Iona","MAAC",NA,109.968483606536,82,98.3443230389924,62,0.783260369589301,NA,NA,-1.54562746870298,73,NA,NA,"2023-03-15","27-7",68.7560761127454,108,"27.2-7.8","17-3"
"45447",72,"Oral Roberts","Sum",NA,113.473914679064,35,101.509070770939,112,0.782685519279495,NA,NA,1.88680131576213,31,NA,NA,"2023-03-15","30-4",70.5128732630121,37,"30.3-4.7","18-0"
"45448",73,"College of Charleston","CAA",NA,110.232030080879,76,98.7014679921051,70,0.78084688214469,NA,NA,1.73686428400026,34,NA,NA,"2023-03-15","31-3",71.1549695212766,23,"31.2-3.8","16-2"
"45449",74,"Vanderbilt","SEC",NA,115.329622372918,22,103.602269550287,161,0.774378742732605,NA,NA,-0.0196367362647017,55,NA,NA,"2023-03-15","21-14",66.681065361728,210,"21.6-14.4","11-7"
"45450",75,"Stanford","P12",NA,114.724637012656,25,103.437044775698,155,0.766933051150318,NA,NA,-6.01284437737861,141,NA,NA,"2023-03-15","14-19",65.792954065659,265,"14-19","7-13"
"45451",76,"Kent St.","MAC",NA,107.643241798982,118,97.1141727984833,47,0.765622083673614,NA,NA,1.04688873152278,42,NA,NA,"2023-03-15","28-6",68.0966937752385,144,"28.4-6.6","15-3"
"45452",77,"BYU","WCC",NA,108.831439693958,98,98.2175046930081,59,0.764962504591104,NA,NA,-4.22904478080461,113,NA,NA,"2023-03-15","19-15",69.6713582149018,56,"19-15","7-9"
"45453",78,"Nevada","MWC",NA,110.304654085919,73,99.5719816405676,80,0.764444162184199,NA,NA,1.05071453743945,41,NA,NA,"2023-03-15","22-11",66.0224181295711,252,"22-11","12-6"
"45454",79,"Santa Clara","WCC",NA,110.322358152983,71,99.8277643661603,84,0.759427441002195,NA,NA,0.464452129589147,50,NA,NA,"2023-03-15","23-10",69.9396526378155,46,"23-10","11-5"
"45455",80,"Virginia Tech","ACC",NA,113.811026869911,29,103.261742813466,151,0.753735110736901,NA,NA,-3.54346585427626,106,NA,NA,"2023-03-15","19-15",66.6699708449408,211,"19-15","8-12"
"45456",81,"Florida","SEC",NA,105.729554051302,152,96.1426027701738,36,0.748964477799546,NA,NA,-2.80454439679856,91,NA,NA,"2023-03-15","16-17",69.4983502989736,68,"16-17","9-9"
"45457",82,"Hofstra","CAA",NA,110.49794034598,67,100.487688434358,95,0.748769273131815,NA,NA,-2.33696726576019,84,NA,NA,"2023-03-15","25-9",67.2766635877663,176,"25-9","16-2"
"45458",83,"Wichita St.","Amer",NA,108.814915547044,99,99.0354689871322,72,0.747053559937799,NA,NA,-5.03440025585697,122,NA,NA,"2023-03-15","17-15",66.115119836286,243,"17-15","9-9"
"45459",84,"Pittsburgh","ACC",NA,113.706868288948,32,103.632566175486,162,0.744003139411468,NA,NA,-0.564517544639383,61,NA,NA,"2023-03-15","23-11",67.2739076478887,177,"23.3-11.7","14-6"
"45460",85,"Toledo","MAC",NA,120.136015086578,5,109.735494997085,289,0.739109311947705,NA,NA,-0.99653740880318,66,NA,NA,"2023-03-15","27-8",69.5735754072584,64,"27-8","16-2"
"45461",86,"Yale","Ivy",NA,107.733856587253,115,98.4537619907183,66,0.73805506022952,NA,NA,-2.14977359800911,82,NA,NA,"2023-03-15","21-9",66.1357919617946,239,"21-9","10-4"
"45462",87,"St. John's","BE",NA,107.57584187541,120,98.4477671976829,65,0.734915086821974,NA,NA,-2.95141436660866,93,NA,NA,"2023-03-15","18-15",73.4741682726768,1,"18-15","7-13"
"45463",88,"Louisiana Lafayette","SB",NA,112.24145290553,49,102.792178827575,141,0.733283438745692,NA,NA,-0.412535743682137,58,NA,NA,"2023-03-15","26-7",68.4818471272894,124,"26.1-7.9","13-5"
"45464",89,"Wake Forest","ACC",NA,111.752557331336,55,102.344520422526,129,0.733281713492465,NA,NA,-3.36048585821622,102,NA,NA,"2023-03-15","19-14",69.5798650207948,63,"19-14","10-10"
"45465",90,"Marshall","SB",NA,109.973692792589,81,101.012669466901,104,0.726600986698269,NA,NA,-2.60722971522818,88,NA,NA,"2023-03-15","24-8",72.0701708103306,14,"24-8","13-5"
"45466",91,"South Alabama","SB",NA,108.521437536539,103,99.7432469448576,83,0.725120769225846,NA,NA,-7.80344219385038,171,NA,NA,"2023-03-15","19-16",65.5812902150364,275,"19-16","9-9"
"45467",92,"Bradley","MVC",NA,106.758695073531,129,98.1736331386437,58,0.723938819109706,NA,NA,-1.04619055646194,67,NA,NA,"2023-03-15","25-10",65.3667015810994,281,"25-10","16-4"
"45468",93,"Indiana St.","MVC",NA,110.281805427675,74,101.508780020143,111,0.721773749323348,NA,NA,-6.57173079144995,150,NA,NA,"2023-03-15","22-12",70.7716078770095,30,"22.8-12.2","13-7"
"45469",94,"Furman","SC",NA,113.722272568315,31,104.884828109541,180,0.717137883654943,NA,NA,-1.91078947714411,79,NA,NA,"2023-03-15","27-7",68.458285523467,126,"27.3-7.7","15-3"
"45470",95,"UNLV","MWC",NA,107.1203202928,126,99.4149110718732,78,0.702343329834718,NA,NA,-3.07049020185891,95,NA,NA,"2023-03-15","19-13",69.5456293686603,67,"19-13","7-11"
"45471",96,"Montana St.","BSky",NA,105.62888725342,155,98.2307492672834,60,0.697420570235933,NA,NA,-2.48474721006527,87,NA,NA,"2023-03-15","25-9",66.4022841361625,224,"25.2-9.8","15-3"
"45472",97,"Vermont","AE",NA,110.319674677222,72,102.72036921505,139,0.694401097531014,NA,NA,-3.71517082593224,109,NA,NA,"2023-03-15","23-10",64.7335145537423,309,"23.2-10.8","14-2"
"45473",98,"Saint Louis","A10",NA,111.002566858709,63,103.432768575004,154,0.692591374389028,NA,NA,-3.05664406618264,94,NA,NA,"2023-03-15","21-12",69.1949855447799,82,"21-12","12-6"
"45474",99,"San Francisco","WCC",NA,109.74115358426,87,102.329626305734,126,0.690859352665114,NA,NA,-3.33778869654347,101,NA,NA,"2023-03-15","20-14",68.7817791058924,106,"20-14","7-9"
"45475",100,"UC Irvine","BW",NA,106.362695214627,135,99.2724246892758,76,0.68855046997353,NA,NA,-4.26161753772856,114,NA,NA,"2023-03-15","23-12",69.5578454849625,66,"23-12","15-5"
"45476",101,"Tulane","Amer",NA,109.506582246674,90,102.3136374115,125,0.685966559900731,NA,NA,-1.697565141002,74,NA,NA,"2023-03-15","20-11",73.0015105745189,3,"20-11","12-6"
"45477",102,"Nebraska","B10",NA,106.056530933136,143,99.1274105962662,74,0.685035782860682,NA,NA,-2.12979942161557,81,NA,NA,"2023-03-15","16-16",66.8816630681573,199,"16-16","9-11"
"45478",103,"Temple","Amer",NA,107.910746035776,113,100.952478763725,102,0.682769233553578,NA,NA,-5.23937085062206,123,NA,NA,"2023-03-15","16-16",66.0854926329506,246,"16-16","10-8"
"45479",104,"San Jose St.","MWC",NA,109.26370033754,93,102.259088889659,123,0.681772030050872,NA,NA,-1.77455522553761,76,NA,NA,"2023-03-15","20-13",62.6492248924617,351,"20.9-13.1","10-8"
"45480",105,"Colorado St.","MWC",NA,111.381483928089,56,104.918118466584,182,0.665406131061534,NA,NA,-6.38150939473449,147,NA,NA,"2023-03-15","15-18",66.3096084052481,227,"15-18","6-12"
"45481",106,"Southern Miss","SB",NA,106.352974233431,136,100.191139078817,89,0.665157411700275,NA,NA,-0.597408556670295,63,NA,NA,"2023-03-15","25-8",68.6475225998958,116,"25-8","14-4"
"45482",107,"UNC Greensboro","SC",NA,103.549676732293,192,97.6468185645503,51,0.662618590159668,NA,NA,-6.0079384865227,140,NA,NA,"2023-03-15","20-12",65.8755870425388,260,"20-12","14-4"
"45483",108,"Colgate","Pat",NA,112.472712238518,44,106.134295700593,206,0.660845006431913,NA,NA,-3.56442412669095,108,NA,NA,"2023-03-15","26-8",67.7629096069193,157,"26.1-8.9","17-1"
"45484",109,"Washington","P12",NA,104.478388014261,166,98.6354218543266,69,0.659669692219296,NA,NA,-3.5534850324351,107,NA,NA,"2023-03-15","16-16",69.2072627831064,81,"16-16","8-12"
"45485",110,"Akron","MAC",NA,109.106572987924,95,103.047307791027,144,0.658603022393276,NA,NA,-4.68682811434093,119,NA,NA,"2023-03-15","22-11",65.2986275256436,284,"22-11","13-5"
